Sigma IT Park,310500
Ajmera Summit,49954
Ajmera Times Square Tower D,0
Nahar Business Center,72400
Ajmera Times Square Tower A,106400
Ajmera Times Square Tower B,218620
HDIL Towers,317310
Damji Shamji Business Galleria,210000
Kanakia Wallstreet,0
Kailas Business Park,740000
Phoenix Art Guild House,781998
Godrej IT Park,1400000
Neptune Element ,980000
Kalpataru Prime,390000
Equinox Business Park Tower 3,352000
Equinox Business Park Tower 4,572000
Trade Star,104940
The Great Oasis,128250
Pinnacle Corporate Park Wing - B,48400
empty,30000
INS Tower,0
Narang Continuum,23000
Silver Astra,24500
Mittal Commercia,156225
Corporate Avenue Wing C,77917
Corporate Avenue Wing D,39767
Corporate Avenue Wing E,59990
Lotus Pride,40000
Trade Square Wing B,42000
Trade Square Wing A,42000
