Naman Midtown,374052
World Trade Centre - Centre One,527008
World Trade Centre - The Arcade,49947
Jolly Maker Chamber ll,150000
Maker Chamber lll,180000
Arcadia ,98176
Maker Chamber IV,197500
Maker Chamber V,200800
Maker Chamber VI,190500
Mittal Tower,255000
Raheja Centre,194820
Raheja Chambers,223950
Sakhar Bhavan,203500
Tulsiani Chambers,110000
Birla Aurora,211983
Vaswani Chambers Wing A,27400
Vaswani Chambers Wing B,38000
Century Greenspan,433580
One Indiabulls Centre - Tower 1,570000
Indiabulls Finance Centre - Tower 1,508074
Indiabulls Finance Centre - Tower 2,802489
Indiabulls Finance Centre - Tower 3,910196
One Forbes,106709
Krishna Complex,9000
Sun Paradise Business Plaza,79800
Bengal Chemicals Bhavan,75712
Sea Breeze,217500
Citi Tower,52000
Garnet Paladium,59924
Chintamani Avenue,43200
Chintamani Classique,0
Lotus Corporate Park,1430000
Aalind Fortuna Wing A,19800
Aalind Fortuna Wing B,23100
Sejal Encasaa Wing B,23400
Maplle Morya Classic,105000
Remi Commercio,0
Lotus Link Square,0
First Avenue,110053
Kaledonia,442157
Neo Corporate Plaza,100000
360 Degrees Business Park,77000
Synergy Business Park,163200
Sunrise Tower,48500
Kohinoor City Commercial 1,286160
Kohinoor City Commercial 2,599900
Platina,321620
Trade Center,600000
O2,176000
Corporate Centre,208000
Corporate Pride,192000
Sanghavi Square,44079
The Qube,300000
Neelkanth Business Park,264000
Kanakia Zillion,600000
First International Financial Center,656686
TCG Financial Center,211850
Raiaskaran Tech Park - Tower 1,456000
Raiaskaran Tech Park - Tower 2,456000
Hubtown Solaris,858000
Nesco - IT 3,667854
Nesco - IT 4,0
Nesco - IT 2,120000
Nesco - IT 1,150000
Manek Plaza,49800
Coral Square,91300
Rosa Vista,75000
Knox Plaza Wing - A,40000
Knox Plaza Wing - B,40000
Pattathu Business Plaza,22400
Trustwell Spaces,13200
Xtrium,45500
Sejal Encasaa - Wing A,23400
T Square,40000
Wallfort House,15000
Pinnacle Corporate Park Wing - A,82500
empty,9500
Light Hall - Wing A,159780
empty,60000
Light Hall - Wing B,267909
Narang Trellis,19500
Thakur House - Block A,8000
Thakur House  Block - B,31500
Thakur Mall,33000
Mittal Estate,15000
Ramee Emerald 2,20800
empty,48000
Dani Corporate Park,52500
Gujral's,11200
349 Business Point,92700
55 Corporate Avenue,36000
Business Park,36973
Fulcrum Business Center - Wing A,187144
Fulcrum Business Center - Wing B,187555
R Square,0
K Raheja Prime,21600
TRIL IT4,783000
Rustomjee Commercial Spaces - Wing A,0
Rustomjee Commercial Spaces - Wing B,0
Romell Tech Park,480000
Hubtown Viva,0
Kailas Corporate Lounge,78000
Vakratunda Corporate Park,80531
Ackruti Star,460000
Universal Majestic,513000
Raj Embassy,556889
Techniplex l,243000
Techniplex ll,108000
West 58,22000
Western House,66800
ATL Corporate Park,0
Business Point,21400
Aarpee Chambers,73500
DC Business Centre,91500
Suvidha Square,80000
empty,58200
Nirma Plaza,21000
Antariksh Thakur House,125000
Jai Antariksh,125000
Accord,14400
Royal Enclave,72000
Stanford,24500
Shabnam Complex,10500
Brillanto House,44000
Averson,6000
Deegee IT Park,151662
Hara Street,5200
Krimson Park,20520
Dhantak plaza,98000
Agarwal Xis,38079
Rolta Tower One,200000
Imperium,52266
Kushwah Chambers,38500
empty,60000
empty,0
Paradigm Business Centre,14000
Novel House,17867
AFL House,84098
Balaji Business Park,48000
Garuda House Atlanta Estate,126000
Gazebo House,10500
Sai Darshan,5300
Crescent Royale,108000
Indus House,28000
Golden Chambers,36000
Gazdhar Enclave,51000
Kshitij,44240
Balaji Accolade,0
Srishti Square,38297
Signature Business Park,0
Orchid Plaza,42000
Pittie Chamber,83570
The Central,23000
Srishti Plaza,56000
Filix Tower,275000
Cello Triumph Tower,136500
Smash Hit,0
Sheil Estate,61432
De Elmas,96000
Peninsula Heights,71800
Shree Amba Shanti Chambers,26250
The Summit Business Bay,570700
Kotia Nirman,30800
Vedanta,123222
Mogra Vikas,0
Rajveer Royal,14400
Laxmi Mall,192000
Sri Krishna,130000
empty,0
Universal Business Park,150000
Leela Business Park,360000
Skyline Wealthspace,99000
Skyline Epitome,66900
Accord Classic,60900
Synergy Court,71400
Poonam Heights,12300
Morya Landmark 1,42000
Morya Landmark 2,72000
Phenomenal House,41400
RNA Corporate Centre,91970
Dilkap Centre,126000
Shri Sai Corporate Park,49000
empty,96999
Ostwal Garden,11260
Sahar Plaza,220000
