Ajmera Times Square Tower D,0
Nahar Business Center,72400
Ajmera Times Square Tower A,106400
Ajmera Times Square Tower B,218620
Damji Shamji Business Galleria,210000
Garnet Paladium,59924
Chintamani Avenue,43200
Chintamani Classique,0
Kanakia Wallstreet,0
Kailas Business Park,740000
Phoenix Art Guild House,781998
Lotus Corporate Park,1430000
Godrej IT Park,1400000
Trade Star,104940
The Great Oasis,128250
Aalind Fortuna Wing A,19800
Aalind Fortuna Wing B,23100
Sejal Encasaa Wing B,23400
,30000
Narang Continuum,23000
Silver Astra,24500
Maplle Morya Classic,105000
Mittal Commercia,156225
Corporate Avenue Wing C,77917
Corporate Avenue Wing D,39767
Corporate Avenue Wing E,59990
Remi Commercio,0
Lotus Link Square,0
Lotus Pride,40000
Trade Square Wing B,42000
Trade Square Wing A,42000
First Avenue,110053
Naman Midtown,374052
World Trade Centre - Centre One,527008
World Trade Centre - The Arcade,49947
The Ruby Mills,1695000
Jolly Maker Chamber ll,150000
Maker Chamber lll,180000
Arcadia ,98176
Maker Chamber IV,197500
Maker Chamber V,200800
Maker Chamber VI,190500
Mittal Tower,255000
Raheja Centre,194820
Raheja Chambers,223950
Sakhar Bhavan,203500
Tulsiani Chambers,110000
Birla Aurora,211983
Vaswani Chambers Wing A,27400
Vaswani Chambers Wing B,38000
Century Greenspan,433580
One Indiabulls Centre - Tower 1,570000
Indiabulls Finance Centre - Tower 1,508074
Indiabulls Finance Centre - Tower 2,802489
Indiabulls Finance Centre - Tower 3,910196
One Forbes,106709
Krishna Complex,9000
Sun Paradise Business Plaza,79800
Bengal Chemicals Bhavan,75712
Sea Breeze,217500
Citi Tower,52000
