Liberty Tower,329000
Reliable Plaza,222250
Reliable Tech Park,960000
Nitco Biz Park ,245000
Gigaplex Building 2,490500
Gigaplex Building 1,414000
Gigaplex Building 3,490500
Gigaplex Building 4,490500
Satyam Towers,100000
Kesar Solitaire,246400
Shah Prima,52800
World Trade Centre - MVIRDC,527008
Asian Infotech Park,180000
Asian House,36000
Shah Signature,0
Technocity Premises Block B,234000
Technocity Premises Block A,234000
empty,100000
NMS Titanium,140000
empty,2000
Arneja Plaza,11200
Vishwa Park,28500
