Asian Infotech Park,180000
Asian House,36000
Shah Signature,0
NMS Titanium,140000
Arneja Plaza,11200
Vishwa Park,28500
360 Degrees Business Park,77000
O2,176000
Empire Tower,0
Coral Square,91300
Rosa Vista,75000
R Square,0
Raj Embassy,556889
Reliable Tech Space,400000
Balaji Accolade,0
Srishti Square,38297
Filix Tower,275000
Smash Hit,0
Shah Prima,52800
Sigma IT Park,310500
Liberty Tower,329000
Reliable Plaza,222250
Reliable Tech Park,960000
Gigaplex Building 2,490500
Gigaplex Building 1,414000
Gigaplex Building 3,490500
Gigaplex Building 4,490500
