Express Towers,375000
Atlanta ,110844
Bajaj Bhavan,104304
Bakhtawar,142996
Dalamal Tower,180000
Earnest House,170000
Hoechst House ,119072
Mittal Chambers,182000
Mittal Court,238000
Nariman Bhavan,181760
Kaledonia,442157
Sunrise Tower,48500
Kohinoor City Commercial 1,286160
Kohinoor City Commercial 2,599900
The Capital,1500000
Platina,321620
Trade Center,600000
Corporate Centre,208000
Corporate Pride,192000
Sanghavi Square,44079
The Qube,300000
Neelkanth Business Park,264000
Godrej BKC,1300000
Kanakia Zillion,600000
First International Financial Center,656686
TCG Financial Center,211850
Raiaskaran Tech Park - Tower 1,456000
Raiaskaran Tech Park - Tower 2,456000
Parinee Crescenzo,1000000
Hubtown Solaris,858000
One BKC,1020000
Manek Plaza,49800
Pattathu Business Plaza,22400
Trustwell Spaces,13200
Xtrium,45500
Siddhivinayak Chambers,24000
T Square,40000
Pinnacle Corporate Park Wing - A,82500
Light Hall - Wing A,159780
empty,60000
Light Hall - Wing B,267909
Narang Trellis,19500
Kirabo,36630
Mittal Estate,15000
Naman Centre,180000
Ramee Emerald 2,20800
Dani Corporate Park,52500
Gujral's,11200
349 Business Point,92700
55 Corporate Avenue,36000
Inspire,0
Business Park,36973
Fulcrum Business Center - Wing A,187144
Fulcrum Business Center - Wing B,187555
K Raheja Prime,21600
Rustomjee Commercial Spaces - Wing A,0
Rustomjee Commercial Spaces - Wing B,0
Hubtown Viva,0
Kailas Corporate Lounge,78000
Ackruti Star,460000
Universal Majestic,513000
West 58,22000
Western House,66800
ATL Corporate Park,0
Business Point,21400
Aarpee Chambers,73500
DC Business Centre,91500
Eastern Court,35200
Suvidha Square,80000
empty,58200
Corporate Park,58000
Nirma Plaza,21000
Antariksh Thakur House,125000
Jai Antariksh,125000
Royal Enclave,72000
Stanford,24500
Shabnam Complex,10500
Brillanto House,44000
Deegee IT Park,151662
Hara Street,5200
Krimson Park,20520
Dhantak plaza,98000
Rolta Tower One,200000
Imperium,52266
Kushwah Chambers,38500
empty,60000
empty,0
Paradigm Business Centre,14000
Novel House,17867
AFL House,84098
Balaji Business Park,48000
Gazebo House,10500
Sai Darshan,5300
Vaibhav Chambers,72720
Kshitij,44240
Signature Business Park,0
Granth,13500
Links,14340
Pittie Chamber,83570
Surana Tulsi Chambers,0
The Central,23000
Srishti Plaza,56000
Sheil Estate,61432
891 Notan Classic,49400
Peninsula Heights,71800
Turner Heights,5100
Sagar Fortune,31500
V.N Sphere,18800
Landmark,4050
Shree Amba Shanti Chambers,26250
Shrikant Chambers II,87624
The Summit Business Bay,570700
Sindhu Ratna,6000
Vedanta,123222
Mogra Vikas,0
Rajveer Royal,14400
empty,25000
Universal Business Park,150000
Leela Business Park,360000
Skyline Wealthspace,99000
Skyline Epitome,66900
Origin 108,54000
Phenomenal House,41400
Dilkap Centre,126000
empty,96999
Sahar Plaza,220000
Kanakia Western Edge l,1020500
Nitco Biz Park ,245000
