_type,address,areacode,building_name,city,data_id,lat,listing_date,lng,locality,platform,property_type,sqft,status,txn_type
PurpleyoItem,"# D-222/28, Nerul, Navi Mumbai",400703,Asian Infotech Park,Navi Mumbai,561,19.071535,2016-03-29T11:21:10Z,73.028595,Nerul,purpleyo,OFFICE AND RETAIL,180000,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"# D-222/39, T.T.C Industrial Area, Turbhe, Navi Mumbai",400036,Asian House,Navi Mumbai,562,19.070786,2016-03-29T06:28:40Z,73.02337,Turbhe,purpleyo,OFFICE,36000,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"S Pranavanandji Marg, Sector 30, Vashi, Navi Mumbai",400705,Vishwaroop IT Park,Navi Mumbai,563,19.064726,2016-05-10T06:03:20Z,72.99676,Vashi,purpleyo,OFFICE AND RETAIL,1000450,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"# 23/24, Minerva Estate, Mulund West, Mumbai",400080,O2,Mumbai,566,19.168875,2016-05-27T06:27:57Z,72.941956,Mulund West,purpleyo,OFFICE AND RETAIL,176000,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"LBS Marg, Kanjurmarg West, Mumbai",400078,Damji Shamji Business Galleria,Mumbai,569,19.12945,2016-02-23T09:31:43Z,72.92647,Kanjurmarg West,purpleyo,OFFICE AND RETAIL,210000,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"Tulsi Pipe Road, Lower Parel, Mumbai",400013,Naman Midtown,Mumbai,570,19.010435,2016-06-02T11:58:07Z,72.83636,Lower Parel,purpleyo,OFFICE,374052,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"Senapati Bapat Marg, Lower Parel, Mumbai",400013,Peninsula Business Park Tower A,Mumbai,576,18.998928,2016-03-09T06:59:02Z,72.82877,Lower Parel,purpleyo,OFFICE,600000,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"Pandit Jawaharlal Nehru Marg, Panch Bawadi, Malad East, Mumbai",400063,Garnet Paladium,Mumbai,578,19.176039,2016-02-23T10:22:20Z,72.85732,Malad East,purpleyo,OFFICE AND RETAIL,59924,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"Andheri Kurla Road, JB Nagar, Andheri East, Mumbai",400059,Corporate Centre,Mumbai,581,19.110752,2016-05-19T11:25:16Z,72.8707,Andheri East,purpleyo,OFFICE AND RETAIL,208000,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"Andheri East, Mumbai",400059,Corporate Pride,Mumbai,582,19.1017,2016-05-19T11:27:30Z,72.88192,Andheri East,purpleyo,OFFICE,192000,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"# 601 & 602, MG Road, Ghatkopar West, Mumbai",400086,Sanghavi Square,Mumbai,605,19.084576,2016-06-15T13:11:59Z,72.90533,Ghatkopar West,purpleyo,OFFICE AND RETAIL,44079,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"# 89 & 90, Sector 15, CBD Belapur, Navi Mumbai",400614,Mahaavir Icon,Navi Mumbai,606,19.010365,2016-05-18T09:18:18Z,73.03749,CBD Belapur,purpleyo,OFFICE AND RETAIL,240000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"# 273, Sector 10, Kharghar, Navi Mumbai",410210,Zion,Navi Mumbai,607,19.036243,2016-06-07T07:58:06Z,73.078995,Kharghar,purpleyo,OFFICE,0,UNDER CONSTRUCTION,SALE
PurpleyoItem,"Andheri Kurla Road, Andheri East, Mumbai",400053,Mehta Estate,Mumbai,694,19.115704,2016-01-11T06:45:31Z,72.857834,Andheri East,purpleyo,OFFICE AND RETAIL,150000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Marol Maroshi Road, Andheri East, Mumbai",400059,KP Aurum,Mumbai,695,19.115307,2016-01-11T13:10:49Z,72.88031,Andheri East,purpleyo,OFFICE,148500,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"# 201, Vishveshwar Nagar, Goregaon, Mumbai",400063,Chintamani Avenue,Mumbai,696,19.170841,2016-03-01T07:15:06Z,72.85857,Goregaon East,purpleyo,OFFICE,43200,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"VIshweshar Nagar, Aarey Road, Goregaon East, Mumbai",400063,Chintamani Classique,Mumbai,697,19.168581,2016-03-18T20:09:26Z,72.8531,Goregaon East,purpleyo,OFFICE,0,UNDER CONSTRUCTION,LEASE
PurpleyoItem,"Andheri Kurla Road, Mota Nagar, Andheri West, Mumbai",400053,Chintamani Plaza,Mumbai,698,19.114815,2016-01-14T10:54:40Z,72.857376,Andheri East,purpleyo,OFFICE,161000,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"Sion - Panvel Highway, Sector 18, Vashi, Navi Mumbai",400705,The Corporate Park,Navi Mumbai,709,19.0686,2016-05-16T08:38:25Z,73.007355,Vashi,purpleyo,OFFICE,133885,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"# 7, Arenja Corner, Palm Beach Road, Sector 17, Vashi, Navi Mumbai",400705,Shah Signature,Navi Mumbai,718,19.073486,2016-03-18T20:06:18Z,73.00206,Vashi,purpleyo,OFFICE AND RETAIL,0,UNDER CONSTRUCTION,SALE
PurpleyoItem,"# 5, Sector 19, Palm Beach Road, Sanpada, Navi Mumbai",400705,Kesar Solitaire,Navi Mumbai,723,19.052687,2016-02-03T09:52:23Z,73.008026,Sanpada,purpleyo,OFFICE,246400,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Thane-Belapur Road, Turbhe MIDC, Turbhe, Navi Mumbai",400036,Arihant Aura - Block B,Navi Mumbai,724,19.075628,2016-05-10T06:10:02Z,73.01983,Turbhe,purpleyo,OFFICE AND RETAIL,210870,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"Thane-Belapur Road, Turbhe MIDC, Turbhe, Navi Mumbai",400036,Arihant Aura - Block C,Navi Mumbai,725,19.07512,2016-05-10T06:10:40Z,73.019646,Turbhe,purpleyo,OFFICE AND RETAIL,572000,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"Sector 2, Kharghar, Navi Mumbai",410210,Shah Prima,Navi Mumbai,727,19.029837,2016-02-11T05:41:49Z,73.06526,Kharghar,purpleyo,OFFICE AND RETAIL,52800,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"# 1498-A-2, M V Road, Marol, Andheri East, Mumbai",400059,The Qube,Mumbai,761,19.102627,2016-05-18T09:24:49Z,72.879745,Andheri East,purpleyo,OFFICE,300000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Centre 1 Building, Cuffe Parade, Mumbai",400005,World Trade Centre - MVIRDC,Mumbai,782,18.91544,2016-01-11T06:54:56Z,72.817566,Cuffe Parade,purpleyo,OFFICE,527008,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"IDBI Tower, The Arcade Shopping Centre, Cuffe Parade, Mumbai",400005,World Trade Centre - Centre One,Mumbai,783,18.914438,2016-05-26T07:14:34Z,72.81759,Cuffe Parade,purpleyo,OFFICE,527008,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"The Arcade, Cuffe Parade, Mumbai",400005,World Trade Centre - The Arcade,Mumbai,784,18.914186,2016-05-26T07:16:44Z,72.8182,Cuffe Parade,purpleyo,OFFICE,49947,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"# 29, Senapati Bapat Marg, Dadar West, Mumbai",400028,The Ruby Mills,Mumbai,800,19.024452,2016-05-10T05:30:46Z,72.84418,Dadar West,purpleyo,OFFICE,1695000,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"Vidyavihar Station Skywalk, Neelkanth Kingdom, Vidyavihar, Mumbai",400086,Neelkanth Business Park,Mumbai,805,19.079529,2016-05-16T06:56:44Z,72.89641,Vidyavihar,purpleyo,OFFICE AND RETAIL,264000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"MCA Recreation Centre, Bandra Kurla Complex, Mumbai",400051,Godrej BKC,Mumbai,806,19.059761,2016-05-11T07:23:16Z,72.86499,Bandra Kurla Complex,purpleyo,OFFICE,1300000,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"Chandivali Farm Road, Chandivali, Andheri East, Mumbai",400072,Kanakia Boomerang,Mumbai,829,19.113766,2016-01-19T11:34:28Z,72.89279,Andheri East,purpleyo,OFFICE AND RETAIL,1440000,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"Western Express Highway, Borivali East, Mumbai",400066,Kanakia Western Edge l,Mumbai,834,19.218794,2016-01-13T12:49:45Z,72.8654,Borivali East,purpleyo,OFFICE AND RETAIL,1020500,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"Mahakali Caves Road, Andheri East, Mumbai",400069,Kanakia Wallstreet,Mumbai,849,19.11514,2016-03-18T19:56:59Z,72.86179,Andheri East,purpleyo,OFFICE AND RETAIL,0,UNDER CONSTRUCTION,SALE
PurpleyoItem,"Pahadi Village, Goregaon East, Mumbai",400063,Nirlon Knowledge Park - Block 3,Mumbai,855,19.15537,2016-01-20T12:58:52Z,72.85375,Goregaon East,purpleyo,OFFICE,330000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Pahadi Village, Goregaon East, Mumbai",400063,Nirlon Knowledge Park - Block 1,Mumbai,856,19.15537,2016-01-21T05:21:06Z,72.85376,Goregaon East,purpleyo,OFFICE,258750,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Pahadi Village, Goregaon East, Mumbai",400063,Nirlon Knowledge Park - Block 2,Mumbai,857,19.15537,2016-01-21T05:21:45Z,72.85376,Goregaon East,purpleyo,OFFICE,270000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Pahadi Village, Goregaon East, Mumbai",400063,Nirlon Knowledge park - Block 7,Mumbai,858,19.155455,2016-01-22T13:21:26Z,72.85377,Goregaon East,purpleyo,OFFICE,309996,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"CST Road, BKC Annexe, LBS Marg, Kapadia Nagar, Kurla West, Mumbai",400070,Kanakia Zillion,Mumbai,859,19.075481,2016-06-02T12:07:43Z,72.87672,Kurla West,purpleyo,OFFICE AND RETAIL,600000,COMPLETED AND OPERATIONAL,SALE
PurpleyoItem,"Sector 8, Rabale, Navi Mumbai",400701,Sigma IT Park,Navi Mumbai,869,19.141289,2016-01-19T05:31:16Z,73.00889,Rabale,purpleyo,OFFICE,310500,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"# C-54 & 55, G Block, Bandra Kurla Complex Road, Mumbai",400051,First International Financial Center,Mumbai,870,19.069412,2016-05-11T06:57:09Z,72.8696,Bandra Kurla Complex,purpleyo,OFFICE,656686,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"# C-53, G Block, Bandra Kurla Complex, Bandra East, Mumbai",400051,TCG Financial Center,Mumbai,871,19.067429,2016-05-11T07:14:18Z,72.86978,Bandra Kurla Complex,purpleyo,OFFICE,211850,COMPLETED AND OPERATIONAL,LEASED OUT
