Kesar Solitaire,246400
Shah Prima,52800
Sigma IT Park,310500
Liberty Tower,329000
Reliable Plaza,222250
Reliable Tech Park,960000
Nitco Biz Park ,245000
Gigaplex Building 2,490500
Gigaplex Building 1,414000
Gigaplex Building 3,490500
Gigaplex Building 4,490500
Garnet Paladium,59924
Chintamani Avenue,43200
Chintamani Classique,0
Lotus Corporate Park,1430000
Aalind Fortuna Wing A,19800
Aalind Fortuna Wing B,23100
Sejal Encasaa Wing B,23400
Maplle Morya Classic,105000
Remi Commercio,0
Lotus Link Square,0
First Avenue,110053
