Kaledonia,442157
Sunrise Tower,48500
Corporate Centre,208000
Corporate Pride,192000
The Qube,300000
Raiaskaran Tech Park - Tower 1,456000
Raiaskaran Tech Park - Tower 2,456000
Hubtown Solaris,858000
Nesco - IT 3,667854
Nesco - IT 4,0
Nesco - IT 2,120000
Nesco - IT 1,150000
Xtrium,45500
T Square,40000
Light Hall - Wing A,159780
Light Hall - Wing B,267909
Mittal Estate,15000
349 Business Point,92700
55 Corporate Avenue,36000
Business Park,36973
Fulcrum Business Center - Wing A,187144
Fulcrum Business Center - Wing B,187555
K Raheja Prime,21600
Rustomjee Commercial Spaces - Wing A,0
Rustomjee Commercial Spaces - Wing B,0
Romell Tech Park,480000
Hubtown Viva,0
Kailas Corporate Lounge,78000
Ackruti Star,460000
Raj Embassy,556889
West 58,22000
Western House,66800
ATL Corporate Park,0
Business Point,21400
Aarpee Chambers,73500
DC Business Centre,91500
Suvidha Square,80000
,58200
Nirma Plaza,21000
Antariksh Thakur House,125000
Jai Antariksh,125000
Royal Enclave,72000
Stanford,24500
Shabnam Complex,10500
Brillanto House,44000
Averson,6000
Deegee IT Park,151662
Hara Street,5200
Krimson Park,20520
Dhantak plaza,98000
Rolta Tower One,200000
Imperium,52266
Kushwah Chambers,38500
,60000
,0
Paradigm Business Centre,14000
Novel House,17867
AFL House,84098
Balaji Business Park,48000
Gazebo House,10500
Sai Darshan,5300
Crescent Royale,108000
Indus House,28000
Golden Chambers,36000
Gazdhar Enclave,51000
Kshitij,44240
Srishti Plaza,56000
Smash Hit,0
Peninsula Heights,71800
Shree Amba Shanti Chambers,26250
The Summit Business Bay,570700
Kotia Nirman,30800
Vedanta,123222
Mogra Vikas,0
Rajveer Royal,14400
Laxmi Mall,192000
Sri Krishna,130000
Universal Business Park,150000
Leela Business Park,360000
Morya Landmark 1,42000
Morya Landmark 2,72000
Phenomenal House,41400
RNA Corporate Centre,91970
Dilkap Centre,126000
,96999
Sahar Plaza,220000
Express Towers,375000
Peninsula Business Park Tower A,600000
Marathon Nextgen Icon,288000
Marathon Futurex,1525000
Atlanta ,110844
Bajaj Bhavan,104304
Bakhtawar,142996
Dalamal Tower,180000
Earnest House,170000
Hoechst House ,119072
Mittal Chambers,182000
Mittal Court,238000
Nariman Bhavan,181760
Century Esplanade,0
Bluechip Corporate Park,145655
Niharika Mirage,0
Vishwaroop IT Park,1000450
Mahaavir Icon,240000
Zion,0
The Corporate Park,133885
Arihant Aura - Block B,210870
Arihant Aura - Block C,572000
Empire Tower,0
The Pacific,0
Business Bay,46640
Kamdhenu Commerz,0
Laksh Building,7200
empty,175500
Sai Sangam,132000
Everest Nivara Infotech Park I - Wing A,111042
Everest Infotech Park II,553511
Cyber One Business Park,162000
Shree Sawan Knowledge Park,304500
Reliable Tech Space,400000
Haware Infotech Park,250500
G Square Business Park,54000
Progressive Sea Lounge,10250
Meridian Business Center,22000
Sagar Plaza,6500
Angruti,6200
Parth Solitaire,48000
Deekay Tech Park,97800
Gami Real Tech Park,86000
Rupa Solitaire,646000
empty,12000
Mahendra Yug Business Park,0
Mahendra Prominent Business Center,0
Everest Nivara Infotech Park I - Wing B,185366
Mayuresh Planet,0
