Kohinoor City Commercial 1,286160
Kohinoor City Commercial 2,599900
The Capital,1500000
Platina,321620
Trade Center,600000
Sanghavi Square,44079
The Ruby Mills,1695000
Neelkanth Business Park,264000
Godrej BKC,1300000
Kanakia Zillion,600000
First International Financial Center,656686
TCG Financial Center,211850
Parinee Crescenzo,1000000
One BKC,1020000
Manek Plaza,49800
Pattathu Business Plaza,22400
Trustwell Spaces,13200
Siddhivinayak Chambers,24000
Pinnacle Corporate Park Wing - A,82500
,60000
Narang Trellis,19500
Kirabo,36630
Naman Centre,180000
Ramee Emerald 2,20800
Dani Corporate Park,52500
Gujral's,11200
Inspire,0
Universal Majestic,513000
Eastern Court,35200
Corporate Park,58000
Vaibhav Chambers,72720
Signature Business Park,0
Granth,13500
Links,14340
Pittie Chamber,83570
Surana Tulsi Chambers,0
The Central,23000
Sheil Estate,61432
891 Notan Classic,49400
Turner Heights,5100
Sagar Fortune,31500
V.N Sphere,18800
Landmark,4050
Shrikant Chambers II,87624
Sindhu Ratna,6000
,25000
Skyline Wealthspace,99000
Skyline Epitome,66900
Origin 108,54000
Neptune Element ,980000
Kalpataru Prime,390000
Technocity Premises Block B,234000
Technocity Premises Block A,234000
empty,100000
empty,2000
The Capital,1500000
Naman Midtown,374052
World Trade Centre - Centre One,527008
World Trade Centre - The Arcade,49947
The Ruby Mills,1695000
Godrej BKC,1300000
Parinee Crescenzo,1000000
Jolly Maker Chamber ll,150000
Maker Chamber lll,180000
Arcadia ,98176
Maker Chamber IV,197500
Maker Chamber V,200800
Maker Chamber VI,190500
Mittal Tower,255000
Raheja Centre,194820
Raheja Chambers,223950
Sakhar Bhavan,203500
Tulsiani Chambers,110000
One BKC,1020000
Birla Aurora,211983
Siddhivinayak Chambers,24000
Kirabo,36630
Naman Centre,180000
Vaswani Chambers Wing A,27400
Vaswani Chambers Wing B,38000
Century Greenspan,433580
Inspire,0
One Indiabulls Centre - Tower 1,570000
Indiabulls Finance Centre - Tower 1,508074
Indiabulls Finance Centre - Tower 2,802489
Indiabulls Finance Centre - Tower 3,910196
One Forbes,106709
Krishna Complex,9000
Sun Paradise Business Plaza,79800
Eastern Court,35200
Corporate Park,58000
Bengal Chemicals Bhavan,75712
Vaibhav Chambers,72720
Granth,13500
Links,14340
Surana Tulsi Chambers,0
Sea Breeze,217500
891 Notan Classic,49400
Turner Heights,5100
Sagar Fortune,31500
V.N Sphere,18800
Landmark,4050
Shrikant Chambers II,87624
Sindhu Ratna,6000
empty,25000
Origin 108,54000
Citi Tower,52000
